id,name,category,unit,brand,image,price,original_price,bundle,promo_start,promo_end,description
3101686,פרסיל קפסולות ג'ל לכביסה דיסקס אקספרט הסרת כתמים קשים 20 יחידות,כביסה,יחידה,פרסיל,images/מחירון/פרסיל קפסולות ג'ל לכביסה דיסקס אקספרט הסרת כתמים קשים 20 יחידות.jpg,28.7,,,,,
3101685,פרסיל קפסולות ג'ל לכביסה דיסקס לבנדר 20 יחידות,כביסה,יחידה,פרסיל,images/מחירון/פרסיל קפסולות ג'ל לכביסה דיסקס לבנדר 20 יחידות.jpg,28.7,,,,,
2600631,DOVE סבון מוצק גרגרי פילינג רביעיה 4*90 גר',כללי,יחידה,DOVE,images/מחירון/DOVE סבון מוצק גרגרי פילינג רביעיה 4*90 גר'.jpg,11.3,,,,,
2600800,"וזלין טהור 50 מ""ל",כללי,יחידה,וזלין,"images/מחירון/וזלין טהור 50 מ""ל.jpg",6.2,,,,,
4400827,"ניוואה קרם רב שימושי 150 מ""ל",כללי,יחידה,ניוואה,"images/מחירון/ניוואה קרם רב שימושי 150 מ""ל.jpg",13.4,,,,,
4400841,לבלו שפתון לחות אוריגינל 4.8 גרם,כללי,יחידה,לבלו,images/מחירון/לבלו שפתון לחות אוריגינל 4.8 גרם.jpg,10.4,,,,,
4400831,"ניוואה דאו רול קול קיק 50 מ""ל",גבר,יחידה,ניוואה,"images/מחירון/ניוואה דאו רול קול קיק 50 מ""ל.jpg",10.4,,,,,
2200250,"ג'ילט ג'ל גילוח סירייאס לעור רגיש 200 מ""ל",גבר,יחידה,ג'ילט,"images/מחירון/ג'ילט ג'ל גילוח סירייאס לעור רגיש 200 מ""ל.jpg",13.4,,,,,
2200342,"ג'ילט דאו ג'ל אולמפיק גולד 70 מ""ל",גבר,יחידה,ג'ילט,"images/מחירון/ג'ילט דאו ג'ל אולמפיק גולד 70 מ""ל.jpg",15.2,,,,,
2200338,ג'ילט טו סכיני גילוח חד פעמי חמישייה,גבר,יחידה,ג'ילט,images/מחירון/ג'ילט טו סכיני גילוח חד פעמי חמישייה.jpg,6.7,,,,,
1501041,ג'ילט סכיני גילוח פיוז'ן סטארט רביעייה,גבר,יחידה,ג'ילט,images/מחירון/ג'ילט סכיני גילוח פיוז'ן סטארט רביעייה .jpg,44.9,,,,,
2200374,"ג'ילט קצף גילוח לגבר סנסטיב 200 מ""ל",גבר,יחידה,ג'ילט,"images/מחירון/ג'ילט קצף גילוח לגבר סנסטיב 200 מ""ל.jpg",12.5,,,,,
1020007,"LA BEAUTE מבשם שיער אינטנסיב קרטין טהור וארגן מתאים לכל סוגי השיער 50 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE מבשם שיער אינטנסיב קרטין טהור וארגן מתאים לכל סוגי השיער 50 מ""ל.png",58.4,,,,,
1020016,"LA BEAUTE מבשם שיער הוט קוטור מתאים לכל סוגי השיער 50 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE מבשם שיער הוט קוטור מתאים לכל סוגי השיער 50 מ""ל.png",58.4,,,,,
1020080,"LA BEAUTE מסכה אינטנסיב קרטין טהור וארגן לשיער עבה, יבש, צבוע ולאחר החלקה 500 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE מסכה אינטנסיב קרטין טהור וארגן לשיער עבה, יבש, צבוע ולאחר החלקה 500 מ""ל (12 יחידות).png",59.4,,,,,
1020072,"LA BEAUTE מסכה אליקסיר קרטין טהור ושמן ארגן לשיער דק וקרקפת שומנית 500 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE מסכה אליקסיר קרטין טהור ושמן ארגן לשיער דק וקרקפת שומנית 500 מ""ל (12 יחידות).png",59.4,,,,,
1020015,"LA BEAUTE מסכה הוט קוטור לשיער רגיל עד יבש מאוד 500 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE מסכה הוט קוטור לשיער רגיל עד יבש מאוד 500 מ""ל.png",59.4,,,,,
1020030,"LA BEAUTE מסכה רד פייבר לשיער יבש, צבוע ופגום 500 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE מסכה רד פייבר לשיער יבש, צבוע ופגום 500 מ""ל.png",59.4,,,,,
1020073,"LA BEAUTE קרם לחות אינטנסיב לכל סוגי השיער בייחוד לשיער מתולתל 750 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE קרם לחות אינטנסיב לכל סוגי השיער בייחוד לשיער מתולתל 750 מ""ל.png",59.4,,,,,
1020002,"LA BEAUTE שמפו אינטנסיב קרטין טהור ושמן ארגן לשיער עבה, יבש, צבוע ולאחר החלקה 750 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE שמפו אינטנסיב קרטין טהור ושמן ארגן לשיער עבה, יבש, צבוע ולאחר החלקה 750 מ""ל.png",51.5,,,,,
1020019,"LA BEAUTE שמפו אליקסיר ויטמין פרוטאין לשיער דק וקרקפת שומנית 750 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE שמפו אליקסיר ויטמין פרוטאין לשיער דק וקרקפת שומנית 750 מ""ל.png",51.5,,,,,
1020011,"LA BEAUTE שמפו הוט קוטור חומצה היאלרונית לשיער רגיל עד יבש מאוד 750 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE שמפו הוט קוטור חומצה היאלרונית לשיער רגיל עד יבש מאוד 750 מ""ל.png",51.5,,,,,
1020026,"LA BEAUTE שמפו רד פייבר לשיער יבש, צבוע ופגום 750 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE שמפו רד פייבר לשיער יבש, צבוע ופגום 750 מ""ל.png",51.5,,,,,
מוצ007,נייר טואלט 48,טואלטיקה,יחידה,,images/מוצרי נייר/נייר טואלט 48.webp,37,,,,,"נייר טואלט במארז 48 גלילים — פורמט מוסדי לשירותים בעסק. כמות שנועדה להחזיק מלאי לאורך זמן במשרדים, במפעלים ובמוסדות, במחיר סיטונאי לגליל."
מוצ013,נייר ניגוב תאית 6 יחידות,טואלטיקה,יחידה,,images/מוצרי נייר/נייר ניגוב תאית 6 יחידות.webp,55,,,,,"נייר ניגוב תאית במארז 6 יחידות. נייר תאית לבן ונקי יותר מנייר ממוחזר, ומתאים לניגוב ידיים ומשטחים באזורי מזון ובמקומות עם דרישות היגיינה גבוהות."
מוצ006,ממחטות אף טישו חמישייה,טואלטיקה,יחידה,,images/מוצרי נייר/ממחטות אף טישו.webp,10,,,,,"ממחטות אף טישו לשימוש במשרדים, בחדרי המתנה ובעמדות קבלת קהל. פריט קטן שנגמר מהר במקומות עם תנועת אנשים, ולכן משתלם להזמין בסיטונאות."
טיפ009,מגבונים לחים,טואלטיקה,יחידה,,images/טיפוח והיגיינה/מגבונים לחים.webp,2.5,,,,,"מגבונים לחים לניקוי ידיים ופנים. מוצר נוח לשימוש מחוץ לבית, ופריט מדף מבוקש בחנויות נוחות, במעונות ובמרפאות."
שקי004,שקיות אשפה 75-90,טואלטיקה,יחידה,,images/שקיות/שקיות אשפה 75-90.webp,8,,,,,"שקיות אשפה במידה 75-90 לפחים גדולים ולנפחי פסולת גבוהים. מתאימות למטבחים מסחריים, למפעלים ולשטחי מסחר עם פינוי יומיומי."
שקי006,שקיות מזון 300 יח׳,טואלטיקה,יחידה,,images/שקיות/שקיות מזון.webp,3,,,,,"שקיות מזון במארז 300 יחידות לאריזה ולשמירת מוצרי מזון. מתאימות למטבחים מסחריים, לחנויות מזון ולאריזת מנות ומרכיבים."
