id,name,category,unit,brand,image,price,original_price,description
1600372,PHARMA DENT קיסמי מברשת דו צדדיים בטעם מנטה 100 יח',כללי,יחידה,PHARMA DENT,images/מחירון/PHARMA DENT קיסמי מברשת דו צדדיים בטעם מנטה 100 יח'.jpg,10.9,,
1600369,PHARMA DENT קיסמי שיניים משולבים בחוט דנטלי בטעם מנטה עדין 36 יח',כללי,יחידה,PHARMA DENT,images/מחירון/PHARMA DENT קיסמי שיניים משולבים בחוט דנטלי בטעם מנטה עדין 36 יח'.jpg,10.9,,
1600623,מברשות שיניים אורל בי סופט שישייה,היגיינת פה,יחידה,אורל בי,images/מחירון/מברשות שיניים אורל בי סופט שישייה.jpg,12.9,,
1600665,מברשת שיניים אורל בי שלישייה ילדים,היגיינת פה,יחידה,אורל בי,images/מחירון/מברשת שיניים אורל בי שלישייה ילדים.jpg,12.9,,+2
1600125,מברשת שיניים קולגייט אקסטרא קלין שלישיה,היגיינת פה,יחידה,קולגייט,images/מחירון/מברשת שיניים קולגייט אקסטרא קלין שלישיה.jpg,8.9,,
1600690,מברשת שיניים קולגייט סופט 360 זוג,היגיינת פה,יחידה,קולגייט,images/מחירון/מברשת שיניים קולגייט סופט 360 זוג.jpg,19.9,,
1600020,"משחת שיניים טום וגרי טעם מסטיק 50 מ""ל",היגיינת פה,יחידה,טום וגרי,"images/מחירון/משחת שיניים טום וגרי טעם מסטיק 50 מ""ל.jpg",9.9,,
1600271,"משחת שיניים סנסודיין קלין אנד פרש 75 מ""ל",היגיינת פה,יחידה,סנסודיין,"images/מחירון/משחת שיניים סנסודיין קלין אנד פרש 75 מ""ל.jpg",17.9,,
1600688,"משחת שיניים קולגייט אדומה 100 מ""ל",היגיינת פה,יחידה,קולגייט,"images/מחירון/משחת שיניים קולגייט אדומה 100 מ""ל.jpg",10.9,,
1600157,"שטיפת פה ליסטרין קולמינט 500 מ""ל",היגיינת פה,יחידה,ליסטרין,"images/מחירון/שטיפת פה ליסטרין קולמינט 500 מ""ל.jpg",17.9,,מגוון טעמים
3101704,LENOR כדוריות הבושם ניחוח פרש 150 גרם,כביסה,יחידה,LENOR,images/מחירון/LENOR כדוריות הבושם ניחוח פרש 150 גרם.jpg,19.9,,מגוון ריחות
3101671,אריאל קפסולות ג'ל לכביסה הסרת כתמים 44 יחידות,כביסה,יחידה,אריאל,images/מחירון/אריאל קפסולות ג'ל לכביסה הסרת כתמים 44 יחידות.jpg,62.9,,
3101674,אריאל קפסולות ג'ל לכביסה 28 יחידות,כביסה,יחידה,אריאל,images/מחירון/אריאל קפסולות ג'ל לכביסה 28 יחידות .jpg,44.9,,
3101673,אריאל קפסולות ג'ל לכביסה לבנה 28 יחידות,כביסה,יחידה,אריאל,images/מחירון/אריאל קפסולות ג'ל לכביסה לבנה 28 יחידות.jpg,44.9,,
3101527,פרסיל קפסולות ג'ל לכביסה קולור 44 יחידות,כביסה,יחידה,פרסיל,images/מחירון/פרסיל קפסולות ג'ל לכביסה קולור 44 יחידות.jpg,44.9,,
3101686,פרסיל קפסולות ג'ל לכביסה דיסקס אקספרט הסרת כתמים קשים 20 יחידות,כביסה,יחידה,פרסיל,images/מחירון/פרסיל קפסולות ג'ל לכביסה דיסקס אקספרט הסרת כתמים קשים 20 יחידות.jpg,31.9,,
3101685,פרסיל קפסולות ג'ל לכביסה דיסקס לבנדר 20 יחידות,כביסה,יחידה,פרסיל,images/מחירון/פרסיל קפסולות ג'ל לכביסה דיסקס לבנדר 20 יחידות.jpg,31.9,,
2600631,DOVE סבון מוצק גרגרי פילינג רביעיה 4*90 גר',כללי,יחידה,DOVE,images/מחירון/DOVE סבון מוצק גרגרי פילינג רביעיה 4*90 גר'.jpg,11.9,,
2600800,"וזלין טהור 50 מ""ל",כללי,יחידה,וזלין,"images/מחירון/וזלין טהור 50 מ""ל.jpg",6.9,,
4400827,"ניוואה קרם רב שימושי 150 מ""ל",כללי,יחידה,ניוואה,"images/מחירון/ניוואה קרם רב שימושי 150 מ""ל.jpg",14.9,,
4400841,לבלו שפתון לחות אוריגינל 4.8 גרם,כללי,יחידה,לבלו,images/מחירון/לבלו שפתון לחות אוריגינל 4.8 גרם.jpg,10.9,,
4400831,"ניוואה דאו רול קול קיק 50 מ""ל",גבר,יחידה,ניוואה,"images/מחירון/ניוואה דאו רול קול קיק 50 מ""ל.jpg",10.9,,
2200250,"ג'ילט ג'ל גילוח סירייאס לעור רגיש 200 מ""ל",גבר,יחידה,ג'ילט,"images/מחירון/ג'ילט ג'ל גילוח סירייאס לעור רגיש 200 מ""ל.jpg",14.9,,
2200342,"ג'ילט דאו ג'ל אולמפיק גולד 70 מ""ל",גבר,יחידה,ג'ילט,"images/מחירון/ג'ילט דאו ג'ל אולמפיק גולד 70 מ""ל.jpg",17.9,,
2200338,ג'ילט טו סכיני גילוח חד פעמי חמישייה,גבר,יחידה,ג'ילט,images/מחירון/ג'ילט טו סכיני גילוח חד פעמי חמישייה.jpg,7.9,,
1501041,ג'ילט סכיני גילוח פיוז'ן סטארט רביעייה,גבר,יחידה,ג'ילט,images/מחירון/ג'ילט סכיני גילוח פיוז'ן סטארט רביעייה .jpg,49.9,,
2200374,"ג'ילט קצף גילוח לגבר סנסטיב 200 מ""ל",גבר,יחידה,ג'ילט,"images/מחירון/ג'ילט קצף גילוח לגבר סנסטיב 200 מ""ל.jpg",13.9,,
1020007,"LA BEAUTE מבשם שיער אינטנסיב קרטין טהור וארגן מתאים לכל סוגי השיער 50 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE מבשם שיער אינטנסיב קרטין טהור וארגן מתאים לכל סוגי השיער 50 מ""ל.png",64.9,,
1020016,"LA BEAUTE מבשם שיער הוט קוטור מתאים לכל סוגי השיער 50 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE מבשם שיער הוט קוטור מתאים לכל סוגי השיער 50 מ""ל.png",64.9,,
1020080,"LA BEAUTE מסכה אינטנסיב קרטין טהור וארגן לשיער עבה, יבש, צבוע ולאחר החלקה 500 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE מסכה אינטנסיב קרטין טהור וארגן לשיער עבה, יבש, צבוע ולאחר החלקה 500 מ""ל (12 יחידות).png",69.9,,
1020072,"LA BEAUTE מסכה אליקסיר קרטין טהור ושמן ארגן לשיער דק וקרקפת שומנית 500 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE מסכה אליקסיר קרטין טהור ושמן ארגן לשיער דק וקרקפת שומנית 500 מ""ל (12 יחידות).png",69.9,,
1020015,"LA BEAUTE מסכה הוט קוטור לשיער רגיל עד יבש מאוד 500 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE מסכה הוט קוטור לשיער רגיל עד יבש מאוד 500 מ""ל.png",69.9,,
1020030,"LA BEAUTE מסכה רד פייבר לשיער יבש, צבוע ופגום 500 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE מסכה רד פייבר לשיער יבש, צבוע ופגום 500 מ""ל.png",69.9,,
1020073,"LA BEAUTE קרם לחות אינטנסיב לכל סוגי השיער בייחוד לשיער מתולתל 750 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE קרם לחות אינטנסיב לכל סוגי השיער בייחוד לשיער מתולתל 750 מ""ל.png",69.9,,
1020002,"LA BEAUTE שמפו אינטנסיב קרטין טהור ושמן ארגן לשיער עבה, יבש, צבוע ולאחר החלקה 750 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE שמפו אינטנסיב קרטין טהור ושמן ארגן לשיער עבה, יבש, צבוע ולאחר החלקה 750 מ""ל.png",54.9,,
1020019,"LA BEAUTE שמפו אליקסיר ויטמין פרוטאין לשיער דק וקרקפת שומנית 750 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE שמפו אליקסיר ויטמין פרוטאין לשיער דק וקרקפת שומנית 750 מ""ל.png",54.9,,
1020011,"LA BEAUTE שמפו הוט קוטור חומצה היאלרונית לשיער רגיל עד יבש מאוד 750 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE שמפו הוט קוטור חומצה היאלרונית לשיער רגיל עד יבש מאוד 750 מ""ל.png",54.9,,
1020026,"LA BEAUTE שמפו רד פייבר לשיער יבש, צבוע ופגום 750 מ""ל",שיער,יחידה,LA BEAUTE,"images/מחירון/LA BEAUTE שמפו רד פייבר לשיער יבש, צבוע ופגום 750 מ""ל.png",54.9,,
